Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
test2-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,1,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,2.02012120709E7,817.0,91.0,66.0,25.0,0.0,72.52747252747253,27.47252747252747,0.0,0.5809541351998526,0.052522327775300144,0.19526004487163107,46.186138966536326,82.02239029636462,177.85179802597978,155.20560564589414,22.646192380085637,1.9544153629228547,1.7055561059988367,0.24885925692401797,84.77016608261671,0.9315402866221617,47.663373113739276,0.8108108108108109,30.0,0.24074074074074073,13.0,0.7592592592592593,41.0,0.1891891891891892,7.0,0.6976744186046512,0.8108108108108109,0.75,0.5608815259465796,0.8273273273273273,0.6750335955880695,0.7252747252747253,0.10960651969667509,0.890393480303325,0.27472527472527475,NaN,0.7252747252747253,NaN,NaN,0.8667998774108574,0.6848819188623307,NaN,0.7252747252747253,0.0,0.02,0.0,0.0,0.0,0.0,192635.0,171047.0,51257.0,86.81318681318682,15.018315018315045,?,?,?,?
test2-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,2,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,2.02012120709E7,817.0,91.0,65.0,26.0,0.0,71.42857142857143,28.571428571428573,0.0,0.5765926986399427,0.055440074227404296,0.19241804372931778,48.751894309340734,80.82855810672855,177.85179802597978,146.56242240386916,31.28937562211061,1.9544153629228547,1.6105760703721885,0.3438392925506661,85.88595077164797,0.9438016568312964,48.29074078807015,0.7567567567567568,28.0,0.2037037037037037,11.0,0.7962962962962963,43.0,0.24324324324324326,9.0,0.717948717948718,0.7567567567567568,0.736842105263158,0.5489471829569244,0.8373373373373373,0.7166518020806105,0.7142857142857143,0.09580070875210393,0.9041992912478961,0.2857142857142857,0.707830630907554,0.7142857142857143,0.709142977996081,0.6178939802242983,0.8738196781922987,0.7249617490757558,0.38128436763550666,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,192635.0,171047.0,51257.0,84.61538461538461,17.307692307692328,?,?,?,?
test2-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,3,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,2.02012120709E7,817.0,91.0,63.0,28.0,0.0,69.23076923076923,30.76923076923077,0.0,0.5421383647798741,0.055661947385711945,0.19937755783689234,49.154225637943604,84.15286316033863,175.6070054973694,147.93289842398096,27.674107073388456,1.9297473131579057,1.6256362464173733,0.30411106674053245,82.71792813548149,0.9089882212690273,47.104002429288386,0.6756756756756757,25.0,0.2222222222222222,12.0,0.7777777777777778,42.0,0.32432432432432434,12.0,0.6756756756756757,0.6756756756756757,0.6756756756756757,0.45345345345345345,0.8603603603603603,0.7726153047697714,0.6923076923076923,0.10347526011000702,0.8965247398899929,0.3076923076923077,NaN,0.6923076923076923,NaN,NaN,0.8892333677657108,0.7395646004470083,NaN,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,192635.0,171047.0,51257.0,85.71428571428571,15.293040293040308,?,?,?,?
test2-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,4,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,2.02012120709E7,817.0,91.0,63.0,28.0,0.0,69.23076923076923,30.76923076923077,0.0,0.5418914059690758,0.0541203047293597,0.1960502012153539,47.792824275926776,82.74845942756224,175.6070054973694,136.65100295228373,38.95600254508568,1.9297473131579057,1.5016593731020191,0.42808794005588663,83.32947551128746,0.91570852210206,47.45225013960831,0.6756756756756757,25.0,0.2222222222222222,12.0,0.7777777777777778,42.0,0.32432432432432434,12.0,0.6756756756756757,0.6756756756756757,0.6756756756756757,0.45345345345345345,0.8438438438438438,0.7666096623471028,0.6923076923076923,0.10389217106043372,0.8961078289395663,0.3076923076923077,NaN,0.6923076923076923,NaN,NaN,0.8867893728749701,0.7408545137802295,NaN,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,192635.0,171047.0,51257.0,87.91208791208791,15.476190476190496,?,?,?,?
test2-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,5,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,2.02012120709E7,817.0,91.0,67.0,24.0,0.0,73.62637362637362,26.373626373626372,0.0,0.6034858387799564,0.052173171154706134,0.18580936937775555,46.03472027220665,78.3518088035099,182.8635335924548,164.32939902857055,18.534134563884237,2.009489380136866,1.8058175717425335,0.20367180839433227,88.94583169386156,0.9774267219105667,48.640551752704184,0.7297297297297297,27.0,0.2222222222222222,12.0,0.7777777777777778,42.0,0.2702702702702703,10.0,0.6923076923076923,0.7297297297297297,0.7105263157894737,0.5037397678898835,0.8628628628628628,0.7749496922507263,0.7362637362637363,0.09955135015986942,0.9004486498401304,0.26373626373626374,NaN,0.7362637362637363,NaN,NaN,0.8860451106466753,0.7455850578223908,NaN,0.7362637362637363,0.0,0.0,0.0,0.0,0.0,0.0,192635.0,171047.0,51257.0,86.81318681318682,17.307692307692335,?,?,?,?
test2-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,6,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,2.02012120709E7,817.0,91.0,70.0,21.0,0.0,76.92307692307692,23.076923076923077,0.0,0.645125348189415,0.050336297764661815,0.1840324666218145,44.1797130216788,77.14087848026489,189.39154728906243,155.79266438463355,33.598882904428876,2.0812257943853014,1.712007300930039,0.36921849345526236,93.00249642884918,1.022005455262079,49.105938337840584,0.8648648648648649,32.0,0.24074074074074073,13.0,0.7592592592592593,41.0,0.13513513513513514,5.0,0.7111111111111111,0.8648648648648649,0.7804878048780488,0.6131737279662356,0.8523523523523524,0.7211579190373781,0.7692307692307693,0.10410847510238991,0.8958915248976103,0.23076923076923078,NaN,0.7692307692307693,NaN,NaN,0.8857552157320343,0.7173430349878733,NaN,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,192635.0,171047.0,51257.0,87.91208791208791,17.032967032967054,?,?,?,?
test2-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,7,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,2.02012120709E7,817.0,91.0,61.0,30.0,0.0,67.03296703296704,32.967032967032964,0.0,0.5090811005214889,0.05861487181337057,0.2039208908014623,51.45172866939438,85.48855712154905,187.39154728906243,205.75775096674192,-18.366203677679493,2.0592477724072795,2.2610741864477135,-0.201826414040434,78.07521199718038,0.8579693626063778,41.66421224792215,0.6756756756756757,25.0,0.2777777777777778,15.0,0.7222222222222222,39.0,0.32432432432432434,12.0,0.625,0.6756756756756757,0.6493506493506493,0.3937805878743654,0.7852852852852853,0.6160266706664052,0.6703296703296703,0.122018887130449,0.877981112869551,0.32967032967032966,NaN,0.6703296703296703,NaN,NaN,0.843084448633565,0.6635066992452807,NaN,0.6703296703296703,0.0,0.0,0.0,0.0,0.0,0.0,192635.0,171047.0,51257.0,82.41758241758242,18.04029304029306,?,?,?,?
test2-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,8,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,2.02012120709E7,817.0,91.0,71.0,20.0,0.0,78.02197802197803,21.978021978021978,0.0,0.6653796653796654,0.04511546491866617,0.17238410520559386,39.60204275767589,72.26757575840216,187.39154728906243,161.2387302596292,26.152817029433237,2.0592477724072795,1.771854178677244,0.2873935937300356,102.52321270558237,1.1266287110503557,54.71069223172287,0.8918918918918919,33.0,0.2222222222222222,12.0,0.7777777777777778,42.0,0.10810810810810811,4.0,0.7333333333333333,0.8918918918918919,0.8048780487804879,0.6579201668154155,0.8868868868868869,0.7889289697985136,0.7802197802197802,0.09684942058167209,0.9031505794183279,0.21978021978021978,NaN,0.7802197802197802,NaN,NaN,0.8953003721537632,0.7589808893311651,NaN,0.7802197802197802,0.0,0.0,0.0,0.0,0.0,0.0,192635.0,171047.0,51257.0,87.91208791208791,14.926739926739943,?,?,?,?
test2-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,9,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,2.02012120709E7,818.0,90.0,68.0,22.0,0.0,75.55555555555556,24.444444444444443,0.0,0.6176129779837776,0.04563471154039503,0.17824779833474017,40.269092991819704,75.16971578532588,174.18128452967085,133.69250120855475,40.4887833211161,1.9353476058852317,1.4854722356506083,0.4498753702346234,93.58524924862608,1.039836102762512,53.72864800103385,0.8378378378378378,31.0,0.2830188679245283,15.0,0.7169811320754716,38.0,0.16216216216216217,6.0,0.6739130434782609,0.8378378378378378,0.746987951807229,0.5461159293893982,0.8786333503314635,0.8087276582448293,0.7555555555555555,0.12220136823388898,0.877798631766111,0.24444444444444444,NaN,0.7555555555555555,NaN,NaN,0.9033421743225721,0.7692363669982469,NaN,0.7555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,192635.0,171212.0,51092.0,87.77777777777777,15.000000000000023,?,?,?,?
test2-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,10,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,2.02012120709E7,818.0,90.0,68.0,22.0,0.0,75.55555555555556,24.444444444444443,0.0,0.636697247706422,0.045930776079962904,0.17941635936068492,40.53034698188571,75.66251514115925,174.18128452967085,140.57976852231423,33.60151600735662,1.9353476058852317,1.5619974280257136,0.373350177859518,97.31558842227724,1.0812843158030805,55.87028978747717,0.7837837837837838,29.0,0.1509433962264151,8.0,0.8490566037735849,45.0,0.21621621621621623,8.0,0.7837837837837838,0.7837837837837838,0.7837837837837838,0.6328403875573687,0.8929117797042325,0.8228244967166243,0.7555555555555555,0.07432318991095718,0.9256768100890429,0.24444444444444444,NaN,0.7555555555555555,NaN,NaN,0.9079484104083314,0.7752418431467436,NaN,0.7555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,192635.0,171212.0,51092.0,87.77777777777777,14.629629629629656,?,?,?,?
